ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21782,HY185689,03/15/2015 07:27:00 PM,058XX W NORTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2531,025,29,25,01A,1136979,1910037,2015,08/17/2015 03:03:40 PM,41.909296329,-87.772239931,"(41.909296329, -87.772239931)"
21783,HY185689,03/15/2015 07:28:00 PM,058XX W NORTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2531,025,29,25,01A,1136979,1910037,2015,08/17/2015 03:03:40 PM,41.909296329,-87.772239931,"(41.909296329, -87.772239931)"
21784,HY186207,03/16/2015 03:11:00 AM,016XX W WEBSTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1432,014,32,22,01A,1164995,1914701,2015,08/17/2015 03:03:40 PM,41.921545627,-87.669188669,"(41.921545627, -87.669188669)"
21785,HY186207,03/16/2015 03:11:00 AM,016XX W WEBSTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1432,014,32,22,01A,1164995,1914701,2015,08/17/2015 03:03:40 PM,41.921545627,-87.669188669,"(41.921545627, -87.669188669)"
21786,HY190080,03/19/2015 12:49:00 AM,081XX S NORMAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0622,006,21,44,01A,1174374,1851122,2015,08/17/2015 03:03:40 PM,41.746875014,-87.636622787,"(41.746875014, -87.636622787)"
21787,HY190108,03/19/2015 02:26:00 AM,001XX S CICERO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1113,011,28,25,01A,1144415,1898849,2015,08/17/2015 03:03:40 PM,41.878458449,-87.745204753,"(41.878458449, -87.745204753)"
21788,HY190397,03/19/2015 11:20:00 AM,079XX S KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0835,008,18,70,01A,1156428,1851675,2015,08/17/2015 03:03:40 PM,41.748772464,-87.70236711,"(41.748772464, -87.70236711)"
21789,HY191107,03/19/2015 09:19:00 PM,009XX N MOZART ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1211,012,26,24,01A,1157211,1906267,2015,08/17/2015 03:03:40 PM,41.898563902,-87.698018649,"(41.898563902, -87.698018649)"
21790,HY192076,03/20/2015 05:14:00 PM,030XX E 81ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0422,004,7,46,01A,1197999,1851850,2015,08/17/2015 03:03:40 PM,41.748315167,-87.550031913,"(41.748315167, -87.550031913)"
21791,HY193065,03/21/2015 12:32:00 PM,088XX S WOOD ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,2221,022,21,71,01A,1165889,1846091,2015,08/17/2015 03:03:40 PM,41.733253531,-87.667856608,"(41.733253531, -87.667856608)"
